2021-10-11 05:52:43.326 | Generator: 3 -  START
2021-10-11 05:52:43.333 | Generator: 4 -  START
2021-10-11 05:52:43.335 | Generator: 11 -  START
2021-10-11 05:52:43.336 | Generator: 20 -  START
----------------------------------------
1 | Generator: 2 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3251727 | Quantity: 0,19414894192517532
2 | Generator: 0 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686550 | Quantity: 0,12975223256729182
3 | Generator: 7 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686563 | Quantity: 0,06824414869843864
4 | Generator: 19 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686576 | Quantity: 0,001129410292237412
5 | Generator: 15 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686596 | Quantity: 0,15577804465892015
6 | Generator: 8 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686609 | Quantity: 0,2364439616459937
7 | Generator: 13 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686666 | Quantity: 0,05255812942945622
8 | Generator: 12 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686731 | Quantity: 0,04582316008357168
9 | Generator: 14 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686735 | Quantity: 0,10695649005486156
10 | Generator: 17 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727587 | Quantity: 0,14945259622738352
11 | Generator: 10 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727627 | Quantity: 0,24788553515195483
12 | Generator: 3 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727656 | Quantity: 0,24847665229586108
13 | Generator: 19 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727797 | Quantity: 0,04202214257885802
14 | Generator: 4 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727842 | Quantity: 0,05046894155309331
15 | Generator: 20 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727868 | Quantity: 0,03538916584510473
16 | Generator: 15 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727897 | Quantity: 0,1879496821146224
17 | Generator: 12 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727919 | Quantity: 0,1303547053894438
18 | Generator: 14 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727937 | Quantity: 0,04515115062014719
19 | Generator: 6 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727971 | Quantity: 0,24871581965842401
20 | Generator: 1 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3727993 | Quantity: 0,08730614710939404
----------------------------------------

----------------------------------------
1 | Generator: 2 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728002 | Quantity: 0,17183208163136868
2 | Generator: 18 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728040 | Quantity: 0,024328364939892214
3 | Generator: 16 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728067 | Quantity: 0,10835318073708868
4 | Generator: 5 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728072 | Quantity: 0,13472385897055447
5 | Generator: 9 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728105 | Quantity: 0,04672571385592488
6 | Generator: 11 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728144 | Quantity: 0,06565546495792866
7 | Generator: 0 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728145 | Quantity: 0,11591172931525472
8 | Generator: 7 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728171 | Quantity: 0,17145783499416795
9 | Generator: 8 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728211 | Quantity: 0,19347495097984016
10 | Generator: 13 | Date: 11.10.2021 05:52:53 | Time: 05:52:53.3728218 | Quantity: 0,2277364500927443
11 | Generator: 8 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727097 | Quantity: 0,004622870189117363
12 | Generator: 5 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727256 | Quantity: 0,005046970399584141
13 | Generator: 2 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727328 | Quantity: 0,14921156199767482
14 | Generator: 0 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727380 | Quantity: 0,1354750186835765
15 | Generator: 14 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727395 | Quantity: 0,13869303322336313
16 | Generator: 20 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727479 | Quantity: 0,004801591736327356
17 | Generator: 10 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727523 | Quantity: 0,12971398401836895
18 | Generator: 11 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727631 | Quantity: 0,21071681899207187
19 | Generator: 16 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727629 | Quantity: 0,23955026317366876
20 | Generator: 12 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727709 | Quantity: 0,059317505759800555
----------------------------------------

----------------------------------------
1 | Generator: 1 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727708 | Quantity: 0,05064935872827161
2 | Generator: 13 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727738 | Quantity: 0,044740204782259436
3 | Generator: 3 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727783 | Quantity: 0,023097437258389517
4 | Generator: 4 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727790 | Quantity: 0,05640114088996056
5 | Generator: 7 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727900 | Quantity: 0,007504984367408317
6 | Generator: 18 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727905 | Quantity: 0,22145631087701287
7 | Generator: 6 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727975 | Quantity: 0,2177158153077506
8 | Generator: 15 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727990 | Quantity: 0,20231792364998313
9 | Generator: 9 | Date: 11.10.2021 05:52:54 | Time: 05:52:54.3727901 | Quantity: 0,015113814927224915
